,incumplimiento,tipo_de_cuenta,genero,edad_del_cliente,co_solicitantes,dependientes,monto_del_prestamo,ubicacion_de_sucursal,nivel_de_producto,estatus_laboral,es_sostenedor_principal,grupo_de_puntaje_crediticio,area_residencial,estado_actual_de_la_cuenta,tiene_cuenta_conjunta,indicador_aleatorio,residencial_Rural,residencial_Suburbana,residencial_Urbana
0,1.0,3,male,26.618128823045595,1,0,7.25,Suburbana,Third,man,True,,Urbana,no,0,0.9494354298674084,0.0,0.0,1.0
1,1.0,3,female,27.395476120491143,1,0,71.2833,Central,First,woman,False,C,Urbana,yes,0,0.0152425151741839,0.0,0.0,1.0
2,1.0,1,female,48.69654310860083,0,0,7.925,Suburbana,Third,woman,False,,Rural,yes,1,0.6723719434749519,1.0,0.0,0.0
3,1.0,3,female,25.491889534077377,1,0,53.1,Suburbana,First,woman,False,C,Urbana,yes,0,0.4035980372889746,0.0,0.0,1.0
4,0.0,1,male,41.038217172627775,0,0,8.05,Suburbana,Third,man,True,,Suburbana,no,1,0.8529009409462249,0.0,1.0,0.0
5,0.0,1,male,43.956722816572665,0,0,8.4583,Quito,Third,man,True,,Suburbana,no,1,0.5063317244431941,0.0,1.0,0.0
6,1.0,3,male,27.070456768967976,0,0,51.8625,Suburbana,First,man,True,E,Urbana,no,1,0.6500775992905993,0.0,0.0,1.0
7,1.0,2,male,21.299316046302437,3,1,21.075,Suburbana,Third,child,False,,Urbana,no,0,0.1547212409759538,0.0,0.0,1.0
8,1.0,1,female,50.788515334438586,0,2,11.1333,Suburbana,Third,woman,False,,Suburbana,yes,1,0.1070239755120455,0.0,1.0,0.0
9,1.0,1,female,45.931652446350185,1,0,30.0708,Central,Second,child,False,,Suburbana,yes,1,0.788940572986648,0.0,1.0,0.0
10,1.0,2,female,21.444797016044443,1,1,16.7,Suburbana,Third,child,False,G,Urbana,yes,1,0.7433403216290351,0.0,0.0,1.0
11,0.0,1,female,48.58520909145415,0,0,26.55,Suburbana,First,woman,False,C,Suburbana,yes,1,0.2190230778004362,0.0,1.0,0.0
12,0.0,3,male,26.695296279712156,0,0,8.05,Suburbana,Third,man,True,,Urbana,no,0,0.5250442168992998,0.0,0.0,1.0
13,1.0,1,male,47.2150636628673,1,5,31.275,Suburbana,Third,man,True,,Suburbana,no,1,0.709431681510373,0.0,1.0,0.0
14,1.0,1,female,48.47011156581709,0,0,7.8542,Suburbana,Third,child,False,,Suburbana,no,1,0.5069669051597986,0.0,1.0,0.0
15,1.0,3,female,22.657619776601383,0,0,16.0,Suburbana,Second,woman,False,,Urbana,yes,1,0.5802299155029117,0.0,0.0,1.0
16,0.0,2,male,24.698187528038307,4,1,29.125,Quito,Third,child,False,,Urbana,no,1,0.6314350171666906,0.0,0.0,1.0
17,1.0,1,male,49.24815013878428,0,0,13.0,Suburbana,Second,man,True,,Suburbana,yes,1,0.1196307451298041,0.0,1.0,0.0
18,0.0,1,female,45.552625374018085,1,0,18.0,Suburbana,Third,woman,False,,Suburbana,no,1,0.8597042945447088,0.0,1.0,0.0
19,0.0,1,female,45.94968069963395,0,0,7.225,Central,Third,woman,False,,Rural,yes,1,0.7683137090785627,1.0,0.0,0.0
20,1.0,2,male,20.532127988429043,0,0,26.0,Suburbana,Second,man,True,,Urbana,no,0,0.1051219420844501,0.0,0.0,1.0
21,0.0,1,male,48.75445324506461,0,0,13.0,Suburbana,Second,man,True,D,Rural,yes,1,0.4607463725498296,1.0,0.0,0.0
22,0.0,1,female,47.08510908643674,0,0,8.0292,Quito,Third,child,False,,Suburbana,yes,1,0.6697119607692115,0.0,1.0,0.0
23,0.0,1,male,44.557594042766695,0,0,35.5,Suburbana,First,man,True,A,Suburbana,yes,1,0.5433542832897534,0.0,1.0,0.0
24,0.0,1,female,48.29317490314457,3,1,21.075,Suburbana,Third,child,False,,Suburbana,no,1,0.2530497638054142,0.0,1.0,0.0
25,1.0,2,female,22.87228893614276,1,5,31.3875,Suburbana,Third,woman,False,,Urbana,yes,1,0.7685395793081179,0.0,0.0,1.0
26,0.0,1,male,47.17070146495249,0,0,7.225,Central,Third,man,True,,Suburbana,no,1,0.2498290074165539,0.0,1.0,0.0
27,1.0,1,male,49.48151032884287,3,2,263.0,Suburbana,First,man,True,C,Rural,no,1,0.8540788999498199,1.0,0.0,0.0
28,0.0,1,female,45.87081610245934,0,0,7.8792,Quito,Third,woman,False,,Rural,yes,1,0.876889566060663,1.0,0.0,0.0
29,1.0,3,male,19.208984074079854,0,0,7.8958,Suburbana,Third,man,True,,Urbana,no,0,0.4073891088648269,0.0,0.0,1.0
30,0.0,1,male,52.07984562503845,0,0,27.7208,Central,First,man,True,,Suburbana,no,1,0.370042002082107,0.0,1.0,0.0
31,0.0,1,female,51.10322965944455,1,0,146.5208,Central,First,woman,False,B,Rural,yes,1,0.2246985222857337,1.0,0.0,0.0
32,1.0,1,female,46.89245448617267,0,0,7.75,Quito,Third,woman,False,,Suburbana,yes,1,0.4517404002836657,0.0,1.0,0.0
33,0.0,1,male,47.27598662564069,0,0,10.5,Suburbana,Second,man,True,,Suburbana,no,1,0.7122852614673066,0.0,1.0,0.0
34,0.0,1,male,51.28391512413627,1,0,82.1708,Central,First,man,True,,Suburbana,no,1,0.3771254344729154,0.0,1.0,0.0
35,0.0,2,male,29.98379821409908,1,0,52.0,Suburbana,First,man,True,,Urbana,no,0,0.7797612308270009,0.0,0.0,1.0
36,1.0,3,male,25.48002102484885,0,0,7.2292,Central,Third,man,True,,Urbana,yes,0,0.2195886680166767,0.0,0.0,1.0
37,1.0,1,male,48.19456831903073,0,0,8.05,Suburbana,Third,man,True,,Suburbana,no,1,0.8703276690779282,0.0,1.0,0.0
38,0.0,2,female,30.20784194409291,2,0,18.0,Suburbana,Third,woman,False,,Urbana,no,1,0.9294823903407292,0.0,0.0,1.0
39,0.0,3,female,21.87221482445373,1,0,11.2417,Central,Third,child,False,,Urbana,yes,1,0.4895097959094047,0.0,0.0,1.0
40,1.0,2,female,21.05448909871675,1,0,9.475,Suburbana,Third,woman,False,,Urbana,no,1,0.3502257032373758,0.0,0.0,1.0
41,1.0,2,female,28.89525610066496,1,0,21.0,Suburbana,Second,woman,False,,Urbana,no,0,0.9174835795714986,0.0,0.0,1.0
42,0.0,1,male,47.59215089796504,0,0,7.8958,Central,Third,man,True,,Rural,no,1,0.7939468728038831,1.0,0.0,0.0
